id		sentence		sentiment
7927		신기하게도 생겼다 ...		놀람
7928		김구라는 왜 있어..?		놀람
7929		천만까지갈영화는 아니엿는데 신기방기;;		놀람
7930		담화 수준 좀 보소...		놀람
7931		역시는 역신가		놀람
7932		댓글보고있으니 참 세상 무섭다는 생각드네...		놀람
7933		28살에 기획실 팀장 ㅋㅋ		놀람
7934		겨우 그것 갖고 난리치네		놀람
7935		캬~ 외교부는 하는일이 이런거임?		놀람
7936		해커랑 계약 안 하는 거 의외네?		놀람
7937		마그넷정인가요???		놀람
7938		와....진짜 이렇게까지 틀리기도 힘들겠다-_-;		놀람
7939		일본은 짱깨리거 없는데 왜저러노		놀람
7940		200만명이 모이는곳에 트렉터로 광화문 간다고???????????????????????????????**		놀람
7941		근데 기아는 진짜 귀신같이 5할앞에서 미끄러지네...		놀람
7942		뭔데? 예전 곤충잡기게임 어플 같은건가??		놀람
7943		아직도 정신못차렸네....		놀람
7944		아니 KT만큼 눈먼 돈 동원할 수 있는 야구단도 없는데 왜 이리 지원을 안하냐..		놀람
7945		성조기는 왜 흔들고 난리야!!!!		놀람
7946		현진아...제대로 먹튀하는구나~^^		놀람
7947		대박 방금 아는형님보구왓더니		놀람
7948		저 놈도 순실이 라인인가		놀람
7949		이건 진짜 양아친데?		놀람
7950		이건 좀 오바 아닌가		놀람
7951		우리나라 대통령은 강남 아줌마였다.이보다 황당한 일이 있을수가.		놀람
7952		헬쥐가 포시를 갈줄이야...		놀람
7953		아니그것보다 의자 없는 학생들이왤케많음???		놀람
7954		드론 도둑이 많아지겠다		놀람
7955		기사를 읽었는데도 여전히 듣보인 건 얘네가 처음이네...		놀람
7956		크레익 마지막 떡블록 개쩜ㄷㄷㄷ스크팬들 문경은하야 촛불들듯		놀람
7957		무상환불은 어제로 끝났다지..?		놀람
7958		우리집보다 반찬 많다~~!		놀람
7959		글이자꾸삭제되네?ㅋㅋ		놀람
7960		미군 핵잠수함이었기 때문에 은폐하려 했다는건가?		놀람
7961		9살 어린 남자라니..진짜 심하다		놀람
7962		가격때문에 보급은 힘들겠지만 희망적인 놀라운 발전입니다!		놀람
7963		필리핀 베트남 태국 무시하문 안되겠네		놀람
7964		보름도 안됐는데 커플이냐? ㅊ		놀람
7965		아니 근데 진짜 도깨비는 무슨 영화보다 더 영화같음...		놀람
7966		안죽었대요?????		놀람
7967		와 대박 문희준 살 빠졌어 이뻐졌어 ㅋㅋㅋㅋ		놀람
7968		국민을 대신 하는 사라들이 많네.구개이원도 잉고 신문기자도 많이 있구나.		놀람
7969		쥬라기공원이 현실로...		놀람
7970		태풍에도 이런데..해일이면ㅜ		놀람
7971		똑똑하네 TK눈을 뜨나?		놀람
7972		기다리는기간까지하면...		놀람
7973		법적 문제 없어??????		놀람
7974		선실 내 떠 있다...??????		놀람
7975		오염똥속에 더오래산 댐민국 늙이덜 대부분은선악에 판단능력이 상실됀지 오래다!		놀람
7976		왜 프랑스한테만 저런일이......		놀람
7977		어머왠일이야...		놀람
7978		와오연서 결국ㄱ됫네ㅋㅋ		놀람
7979		전교에서 거의 꼴찌라고 하지 않았나?		놀람
7980		여진이 가슴 타질것 같네. 한번 만ㅇ 봤으면 좋겠다.		놀람
7981		인페르노가 왜 저기 있지		놀람
7982		드라마가 따로없네요....		놀람
7983		어디 아픔?????		놀람
7984		까짓거 삼국유사 목판 복각하면되는거 아니가 지금 기술이 훨씬 좋은데 무려 최초 인쇄본이네		놀람
7985		오~~~ 창조경제ㅋㅋㅋㅋㅋ		놀람
7986		한마디로 천문학적 돈이 든다는거네		놀람
7987		방화사주한 뭐시기가 거시기라고라?		놀람
7988		외모도 외모인데 2016년맞아? 스타일 왜이리 구려? 북한인줄		놀람
7989		중고값도 완전 똥값 되겠네		놀람
7990		노홍철이 어느세 39살이냐		놀람
7991		기자양반 설렁탕 서민음식 아니야!		놀람
7992		진짜 상상을 초월하는구나 ㄷㄷㄷ		놀람
7993		해양개발과장님의 우려인가?		놀람
7994		남규리 근데 비주얼에 비해 노래 잘부르는데		놀람
7995		하... 서인영 솔비... 대박		놀람
7996		월러스의 팔뚝 엄청나네.....		놀람
7997		돈만으니 결혼2번하네		놀람
7998		살인과 거짓말쟁이		놀람
7999		눈에서 겨드랑이 냄새 난다고?		놀람
8000		미쳐도 단단히 미쳤어~~~		놀람
8001		사진으로만 봤지 동영상으로 보니 정말 신기하다		놀람
8002		메시가 팀인데 뭐....		놀람
8003		전지현 외모로만봐도 대한민국 탑인데연기력특A급들만 할수있다는 힘빼고 자연스러운 연기까지 한다능..ㄷㄷ		놀람
8004		벌써2017년 첫귀경길이 시작했네 ㅎㄷㄷ		놀람
8005		그냥 막 날라다녀!!!		놀람
8006		이러다 DNA 생체보안까지 나오겠네.		놀람
8007		NC창단 반대했던 롯데가 알고보니 큰 그림을 보고있던거였어		놀람
8008		최여진의 저주인가??		놀람
8009		연락이 안되는데 사실이 아냐?		놀람
8010		양준혁이나 이만수가 레전드 아녀 ?? 한참 어린애가 감독이 되네		놀람
8011		어떻게 아빠가 더 어릴 수 있지? 암만 판타지라도		놀람
8012		십형 왠일이얌ㅋㅋㅋㅋ		놀람
8013		메갈뇬들은 모두 손가락에도 살이 쪘다는데 사실인가요?		놀람
8014		노무현 정권의 최대 미스터리.		놀람
8015		혹사가 아니라면 안우진 기록이 압도적인데 간만에 휘문에서 인재 나왔나		놀람
8016		야구보면서 김태균 삼진 두개 당하는거 첨보네		놀람
8017		지렷구요...!!!!		놀람
8018		둘이 뭔가닮았네		놀람
8019		업데이트중ㅇ에 일시정지 눌렸더니 백프로 충전되고있는데		놀람
8020		그렇다면, 트럼프가 러시아의 스빠인가 ?		놀람
8021		이름값 하는거 보소ㄷㄷ		놀람
8022		그알 내용 제보했다더니 결국 죽임당했네요		놀람
8023		중간에 홍어아님? ㅋㅋㅋㅋ		놀람
8024		와.. 아오이츠카사 ㄷㄷ... 흑인물 찍은거 봤는데;;;		놀람
8025		헬지 ..... 장원준 두산이 사갔을때 욕을 그리한서만 두산 잘사갔네		놀람
8026		김수현 완전팬인데 위에사진 유승준인줄~~나만 그렇게 보이나?		놀람
8027		왜? ㅋㅋㅋㅋㅋㅋ 가끔 이해가...		놀람
8028		성형 안하고도 이렇게 이쁠수 있구나..		놀람
8029		창조적인 일자리 창출이네... 진짜 저정도 수준이었어?		놀람
8030		삼성전자 취직해서 40살 넘으면 한달에 저 정도 벌듯.		놀람
8031		브라질이선진국?		놀람
8032		진짜 대단하다대한민국 대통령이란 사람이야매를받다니 진짜 대단하다어찌 이걸몰랐지?		놀람
8033		남자 아님?????		놀람
8034		이걸 재용이가????		놀람
8035		저 피지컬을 4.5억에 판다고???????		놀람
8036		근혜야 니가 무슨짓을했냐일본에 뭔약점을잡힌것은아니제		놀람
8037		나도할뻔했는데~가입~헐		놀람
8038		30억 백수 시대... 누구도 이 백수들에게 관심이 없네... 모든 사람들은 자기 중심적이라 나는 그 그룹에 포함되지 않을거라 믿고 있네... 자연도태의 속도는 빨라지네..		놀람
8039		그날밤 산에올러간 카운트 3명 딱 나오는데 소~~름		놀람
8040		다들 기골이 장대하시네요 ㄷㄷ		놀람
8041		항생제를우려내서 무항생제..?		놀람
8042		박근혜 이게 인간이냐		놀람
8043		기사속도 ;; 미리 쳐놨었냐		놀람
8044		형제는 용감했다.....		놀람
8045		부산에 비 오지게 오네요		놀람
8046		놀자판이구만 헐 대박		놀람
8047		이야 대단하네 포켓몬고 가 철통같던 셧다운을풀어버리네		놀람
8048		저게 사람이냐?? 와		놀람
8049		권력이란게 이런건가역사책에나 나오는 걸로 알았는데		놀람
8050		대가리 크기보소 .........		놀람
8051		무서운 이야기 해줄까? 28일 명절날 오후에 버스 타고 동대문쪽으로 가는대 거리에 70%이상이 외국인 거리에 한국인보다 외국인이 더 많아		놀람
8052		왜 네이버베댓이랑 다음 베댓은 반대일까?ㅋㅋㅋㅋㅋ		놀람
8053		천만원.......와....		놀람
8054		김태희글씨체 나랑 비슷해서 깜놀		놀람
8055		아이고...,,,무시래이		놀람
8056		그라믄 6시간 40분동안 뭐했노??		놀람
8057		10년이나 됐나?? 벌써?		놀람
8058		송강호 김혜수가 어떻게 영화에 나오지 궁금하네 더좋은 가방이 있나		놀람
8059		와~~ 저 덩치에 엔진 하나로 박차오르는거야? 대단....		놀람
8060		할 노래가 넘쳐나네 ㅎㄷㄷ		놀람
8061		장시호 나이스타이밍 이네?		놀람
8062		그냥 대박이라는 말밖에는..		놀람
8063		디스패치 무섭다ㄷㄷㄷ		놀람
8064		마티즈는 비가 와도 잘 달리네요		놀람
8065		박근혜는 혼밥 먹게하고, 3인방과 국정논의하는 순실이 포스가 느껴지네.		놀람
8066		박한이가 명단에 있었을까가 궁금하다		놀람
8067		불법은 아닌데, 벗고 찍었다는 거 아냐		놀람
8068		스프레이를 몇통을 쓴거야??		놀람
8069		걍,,, 머찜		놀람
8070		와 달의연인 진짜재밌는데 어떻게 시청률이..		놀람
8071		아니 애아빠는 어디간겨!!!		놀람
8072		두테르테 지지율이 그렇게 신기해? 박여사가 29%나 지지받는 나라에서?		놀람
8073		와...3조..? 대박.. 최고다..		놀람
8074		120억 받고 싶다고 했었는데 20억이나...		놀람
8075		괴물ㆍㆍㆍㆍㆍㆍㆍ이군ㆍㆍㆍ		놀람
8076		송유근 사형선고나 다름없네. 헐~!		놀람
8077		김고은이 주연인데 윤인나가 서브라니		놀람
8078		터진각도로봐선 전자렌지돌리다가 방수된다고 물에넣은거같은데?		놀람
8079		페이스오프하고도 11년이나 살았네..		놀람
8080		왜댓글이계속사라지는건데		놀람
8081		나라꼴 잘 돌아간다... 성추행범이 큰소리치고		놀람
8082		짧게 연애하더니 짧게 이혼하는거보소 ㄷㄷㄷㄷ		놀람
8083		아니 온도가 저리높은데 먼빙판		놀람
8084		유로파에 언제부터 이렇게 관심이 많았지 ㄷㄷㄷ 이런 기사도 올라오네 ㅋㅋ		놀람
8085		근대 원소 이름을 국가 이름으로 한다니~!!!그		놀람
8086		와 진짜 대박이네....		놀람
8087		4만년전에도 메갈이 잇엇지 메갈로돈이라고..		놀람
8088		헐?? ㅈㄴ이뻐졌네 ㅋㅋ		놀람
8089		체임버스는 언제 아스널 떠났지		놀람
8090		깜짝 놀랬네 ㅋ 사진만보고 스캔들터진줄 제목 안봤으면 어쩔뻔....ㅋㅋ		놀람
8091		30평이면 12억인가? 비싸군		놀람
8092		캉테하나산거가 이렇게영향이 크냐 ㄷㄷ		놀람
8093		동생남자가 깡패맞는가보네..		놀람
8094		조선족이 담군듯 ..		놀람
8095		믹키장실과 다르게 표정에 자신감이 넘치잖아		놀람
8096		유난히닭을 학살시키네? 뭔관련이야		놀람
8097		대구분들 대단하심.. 화이팅		놀람
8098		삼성아 방어율4점대를 100억줘? 외국인선수 핵터급 뽑아라 기팬인데 돈 거품이다		놀람
8099		오~~~ 요런 시나리오???		놀람
8100		테임주~ 성공했네;;;		놀람
8101		지진??		놀람
8102		댓글 수 엄청 많네		놀람
8103		마동석 총각예요???		놀람
8104		규현이 김국진이 하나도 안받음???의외네~~		놀람
8105		캐나다도 안전지대가 아니구나		놀람
8106		요새 왜이케 남자연예인 성폭행사건이 많이 일어나는지..		놀람
8107		아...백선생...요리만 능한 분이 아니셨군요~할뻔 했네		놀람
8108		장난인건 알겠는데 아이한테 너무심하다		놀람
8109		이게 잘한다잘한다해서 배때지가 불러서 그런겨		놀람
8110		수입이 더 청정지역달걀아닌가? 국산도 만원이 넘었던데....수입..오케이		놀람
8111		은택아!!순시리한데~머리쥐어떴긴거야?		놀람
8112		횃불로 검색어에 올립시다~~~!!		놀람
8113		둘째돌인데 셋째를 낳았다구 우왕		놀람
8114		역대급 사기녀다		놀람
8115		올해는 정말 기록의 시즌이로구나!!!!!		놀람
8116		현기가 아니라 폭스바겐그룹과 비교해야 하는거 아님?		놀람
8117		분장이 역대급		놀람
8118		미국에서 총기사고가 아닌 저런 사고도 나는구나		놀람
8119		와 진짜 얘는 꿈이라는게 없는 앤가보네 참나...		놀람
8120		역시 대한민국 간판기업 갓.성..		놀람
8121		엄청날걸 세상에 내보냇네 ㄷㄷㄷ		놀람
8122		그렇다는건 2주나 3주정도 결방이라는 얘기???		놀람
8123		그냥 그렇다는데 댓글들은 왤케 열올림..??		놀람
8124		모범보여서 둘다 놓치라고?		놀람
8125		박지성을 보는듯하네		놀람
8126		난 초등학교때 벙어리장갑안에 손이 모아지게되니까 꽃봉우리닮아서 봉우리 장갑인줄 알았는데. 그래서 명칭이 이상하다고 못느낌.		놀람
8127		와 저런 또라이가 경찰을 하네....		놀람
8128		워낙 비싸서.. 테슬라 X.. 중상급으로 맞췄더니 1억5천 넘던데..		놀람
8129		어메이징 조센징!!!		놀람
8130		부럽다 ... 애교로 100억 버신분		놀람
8131		40대랑 20대가 결혼이라..		놀람
8132		저런 애기도 투표권이 있어ㄷㄷ		놀람
8133		최현석 셰프 닮았네.		놀람
8134		왜 우리 동네는 줄서 있는 사람이 한명도 없지??????		놀람
8135		내가 꿈꾸고있나....		놀람
8136		이 영화 실화라면서???		놀람
8137		어디서 못된짓만 배웠나보네..		놀람
8138		두번째사진이...신봉선이 보여		놀람
8139		저 죄수복은 프라다 아니가? ㅋㅋ		놀람
8140		뭐 이딴 년이 다 있냐 ㅋㅋ		놀람
8141		벌써 차기작 구상을 시작하셨다니 대단하시네..		놀람
8142		왐마 능력자네 ㄷㄷㄷ		놀람
8143		설리 앞니 왜저럼?		놀람
8144		아줌마 멋지다!!		놀람
8145		진심 소오름이 끼친다. 이런 큰일을 저질러 놓고도 발 뻗고 잠이 왔을까나!!!		놀람
8146		역시 중국이네...대박		놀람
8147		내부자들 현실판ㄷㄷㄷㄷㄷ		놀람
8148		매우빠름;;;;;;;		놀람
8149		밀라요보비치 애엄마 미모가 장난아니네..		놀람
8150		가능해 이게?		놀람
8151		면제일거라 생각했는데 가네		놀람
8152		아직도 고정멤버가 아니였단 말인가???		놀람
8153		와...사진으로만 봐도 파워가 느껴지네.....		놀람
8154		이래서 레알마드리드.바르셀로나 축구하면 난리나는구만		놀람
8155		범죄자를 대놓고 두둔하는건 범죄 아닌가?		놀람
8156		필리핀이 이제부터 어떻게 되살아나는지 지켜볼 필요가 있다.		놀람
8157		역시 이지메 선진국ㄷㄷ		놀람
8158		어떻게 한 순간에 이렇게 됐지?		놀람
8159		살인죄가...벌금형?		놀람
8160		가도 난리 안 가도 난리네....뭔....		놀람
8161		조원우 이사람 이종운보다 더한사람이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ		놀람
8162		근데 단종 시킨다니깐 갑자기 폭발사고가 안일어날까요??		놀람
8163		매미가 이 시간까지 우네		놀람
8164		저거타려면 최소 제트기조종수급 중력가속도훈련수료 해야되는거 아님?ㅋㅋㅋㅋ		놀람
8165		200억?왜 200억씩이나ㅎ		놀람
8166		증말? 루요????		놀람
8167		스마트폰 찍는 건 너무나 당연한건데		놀람
8168		와 클라스 봐라....		놀람
8169		와... 디테일 쩐다		놀람
8170		뺑소니범들 존나많네		놀람
8171		지들끼리 싸우며 후보단일화 한다고 시끄럽게 하다가 정리 못하고 또 엄한놈이 되는거 아니야?		놀람
8172		폭염?무더위?다른거?		놀람
8173		순간 버스기사가 아니라 잠복근무하는 형사인줄..		놀람
8174		그려서 소수기득권을 위한 중소 조선시대로 가자고??		놀람
8175		달의연인이 겹쳐보임*.*		놀람
8176		수백개 사유가 있더라도 단 하나만 탄핵 사유에 해당하면 되는것 아닌가?........		놀람
8177		인간적으로 분해 사진하나는 올려줘야 하는거 아냐??		놀람
8178		1시간전에 스브스에서 한 뉴슨데?		놀람
8179		설날 밥상에서 가족들이 차기 대통령으로 황교안을 얘기해서 깜짝 놀람 탄핵 정국에서 침묵하는 다수들이 있다는걸 확인사살		놀람
8180		진심천재인거같다		놀람
8181		그래도 강진인데 사망자 없는거보면 대단한듯		놀람
8182		으아 뭐 떴는줄 알고 심쿵했네..		놀람
8183		차은택 대머리였음?		놀람
8184		생각보다 골이빈거같진않은데..?		놀람
8185		쟤는 어디 사는거냐 도대체..어디 살길래 안춥다니..		놀람
8186		내가 볼땐 마샬 원톱 기회 줘야한다고 생각한다.... 얘 리그앙에서도 톱 나왔을때 득점력 장난 없엇음		놀람
8187		ㄷㄷㄷ 1위 등극..		놀람
8188		아시아가 갈색? 옆동네 중국은 모르겠지만일본은 흰색이던데?ㅋㅋ		놀람
8189		너희는 국적이 어디니??????		놀람
8190		확실히 안 것 : 영국은 그래도 영국. 주식시장은 역설적이게도 감정시장		놀람
8191		축구 선수 몸이 아냐얼굴은 더 그렇고		놀람
8192		왜 남자 더 일찍 죽어요?		놀람
8193		노무심한 태풍인가 보다...잉		놀람
8194		기린의 목은 하나님이 길게 만들었다던데...?????		놀람
8195		박근혜대통령 지지도 올라갈 징조구나		놀람
8196		일본 애들 보면 장기적으로 일 추진하는거 보면 소름이 돋는다		놀람
8197		송하나와 디바가 현실이 되는것인가		놀람
8198		삼성은 다르긴 다르네...		놀람
8199		마지막대박		놀람
8200		역시 미국이다 ..		놀람
8201		하메스보다 폼이 더 좋아 보인다고 생각하는듯		놀람
8202		우주의 기운이 트럼프와 함께하네		놀람
8203		여자에게 얼마나 상처를 받았기에?		놀람
8204		5만리터 저장탱크도 놀랍다		놀람
8205		대한민국 틀딱 크라스 ㄷㄷ		놀람
8206		대구 이틀전도 그렇고 지금 장난아니게 쏟아지네ㄷㅈㄷㄷ		놀람
8207		프런트 랑 감독이랑 싸우다가 감독 나가니. 프런트를 감독 으로 올리네..ㄷㄷ		놀람
8208		우리나라에서 이러면 독재라고 할 놈들이 외국이라고 칭송하네 헐..		놀람
8209		조사해 볼 일이군...어느 부모가 아들보는 앞에서 자살할까?		놀람
8210		ㅋㅋ 임신중 인신가봐요? 새신랑이 아빠까지는생각하시다니 축하드립니다.		놀람
8211		알리 부상인가???		놀람
8212		소오름		놀람
8213		대단해요!!!!!!!!		놀람
8214		근데 유원상을 묶고 이승현 푼거면 문제		놀람
8215		이와중에 싸이 의문의 1승ㅋㅋㅋ		놀람
8216		쓰레기 퇴물들을 안보내고 재계약하는것도 대단한일		놀람
8217		조현아 정의선 이해욱 재벌 갑질들의 끝판왕 격인 얘들 세명도 이집안 갑질엔 뼈도 못추린다는거 ㄷㄷㄷㄷㄷ		놀람
8218		감히 하등민족이 저리도 착한 독일에서 살인을 하는거 보면 독일이 신나치주의로 가도록 유도하는거같다		놀람
8219		끝내준다.......		놀람
8220		18살??????????		놀람
8221		전북이 헐크 막고5대0 승 했는디?		놀람
8222		류현진이 대단햇던건 한화타선을 상대하지 안았기때문에 더 대단해보임		놀람
8223		진짜 충격먹엇다...		놀람
8224		회당 500만 받았다고 쳐도 40억이네 와..		놀람
8225		근데 김상혁이 떠오르는 이유는 도대체 뭐야?		놀람
8226		범죄와의 전쟁이 없다니 충격이다		놀람
8227		얘네 소속사는진짜 대단함 ㅋㅋ 대표 사리나올듯		놀람
8228		개 죽음 당할뻔 했네		놀람
8229		가을이다 ㄷㄷㄷㄷㄷㄷ		놀람
8230		다이어트는 대장세균 다 죽여서 오래먹으면 기냥 코크보다 더 안좋다고하던데..		놀람
8231		아하! 자가용 전용도로?		놀람
8232		도대체 저할배의 매력이 머다냐 ?		놀람
8233		이...이티...???		놀람
8234		전자기기랑 물은 상극인거 모르냐 자동차랑 바닷물이 상극인거처럼 이기야		놀람
8235		홈 버튼이니 설마~!!		놀람
8236		김고은이 좀 아까운것 같고(어려서), 신하균은 사실 부럽다.ㅋ 연하.. 그것도 17살??? 워~~~ 레전드셔..ㅋ		놀람
8237		우리나라 같음 민소매 상상도 못할일인데...;;		놀람
8238		작년 정규시즌 부상때문에 날려먹고 포스트시즌에서 경기마다 그렇게 압도적으로 던질줄 누가 알았을까..		놀람
8239		김신영 인줄ㅋㅋ완전		놀람
8240		엥??? 백만명?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저분들 숫자개념없으신가 ㅎㅎ		놀람
8241		아니 저걸 어찌알고 확보했데?		놀람
8242		반대표 56표 누구?		놀람
8243		노인네 몸값 올리려고 언플지리네		놀람
8244		빨래하난 진짜 잘 마르네		놀람
8245		최순실이 매관매직해서 꽂아준넘 아님?		놀람
8246		이게 설마 포켓몬고 때문에 풀린거야?		놀람
8247		LPGA신인왕 출신아내 한희원 프로와 라운드!		놀람
8248		이수근 진짜 순간 드립 대단하다		놀람
8249		미국에서는 아직도 줄서서 아이폰 삽니다. 아직도.		놀람
8250		군대는요???????/		놀람
8251		최순실아쥼마 말을 알아듣는게 신기방기		놀람
8252		저렇게 마른 역도선수가 어딨나		놀람
8253		박사모집회참여하고 일당못받으면 바보아님?		놀람
8254		야구라는 스포츠는 망하게 놔두고 저딴승마에는 200억 ㄷ		놀람
8255		뱃 속에서 미리 크다가 나왔구나...		놀람
8256		세상에나 ㅠㅠㅠㅠㅠㅠㅠㅠ		놀람
8257		시계가 없으니까 그렇지 그겨도 백만원짤 시계인데.		놀람
8258		아침 일어나서 네이버들어가니 검색어1위 손흥민ㄷㄷ ...		놀람
8259		딱보니 답 나오네! 조선일보 주도하에 jtbc 죽이기		놀람
8260		왜 반말? 그래서 왜 둥근데?		놀람
8261		이재용관련기사가 사라지고 있다!돈의힘!		놀람
8262		웨이팅 엄청나겠네		놀람
8263		2년을 통으로 쉬네 헐....		놀람
8264		변호사라는 사람이 ... 민주주의도 몰라?!?!?!		놀람
8265		미국에서 정형돈 봤는데.... 진짜 제목그대로였음...		놀람
8266		와 진짜 이시영 다잘하네		놀람
8267		캐스팅도 애비덕본다는소리?		놀람
8268		온세상이 대혼란의 소용돌이속에 있는듯...		놀람
8269		막말하네...헐.....		놀람
8270		와 어깨차이봐라		놀람
8271		겁나 크네 ㄷㄷ		놀람
8272		허세아님?		놀람
8273		27살이44살이랑사귀다니 ㄷㄷ		놀람
8274		알파고 졌을 때 구글 직원들 표정 못봐서 하는 소리다 ㅋㅋ		놀람
8275		송윤아가 드라마 머리끄덩이잡고 끌고감개쩜		놀람
8276		구속은 놀라운데 5이닝 동안 90개 가까이 던졌네..		놀람
8277		동갑 패티쉬 있는건가?		놀람
8278		허이구 오십억.. 광고비 엄청 받구나		놀람
8279		조선일보가 이런기사를 쓰네? ㅋㅋ		놀람
8280		스펙보소 ㄷㄷㄷㄷ ㄷㄷㄷㄷㄷㄷ		놀람
8281		막가는가 보구만~		놀람
8282		언제부터 맨시티 홈이 화이트하트레인??		놀람
8283		왼손잡이는?		놀람
8284		왜 바다로가서 수영시키지?		놀람
8285		와~완전 경주랑 딴판이네		놀람
8286		???:엥 저거완전 마약 아니냐???		놀람
8287		진짜 맨탈 갑이네~~~		놀람
8288		좋은일 많이하시던데 왜 그러셨지;;;		놀람
8289		진짜 따습냐 안무겁고?		놀람
8290		손연재 갑자기 뜨더라		놀람
8291		와 아직까지 하고있었어??		놀람
8292		둘다 인물이 좋으니 남자한복이 이리 이쁜지 감탄하게 됐음..		놀람
8293		손실을 순실로읽었어...		놀람
8294		과학은 정말 위대하다		놀람
8295		가뜩이나 다른 구치소에 있는 정호성까지??		놀람
8296		군기밀문서를 일본에?		놀람
8297		장마가 언제 왔나요?		놀람
8298		떠날 버스가 어딨냐???		놀람
8299		조국떠나고싶어환장한 사람들이 많다 이거야?		놀람
8300		점점 사이코로 변해가네~		놀람
8301		키 커서 좋은게 뭔데?..		놀람
8302		내일모레가 일주일 뒤가 되고...		놀람
8303		레스터가 3점이나 다 주고 왠일이래?		놀람
8304		이란까지 비행 시간이 13시간이나 걸리는구나 ㄷ ㄷ ㄷ		놀람
8305		헐!!!		놀람
8306		내가 잘못본건 아니죠?		놀람
8307		바티스타는 오간도에게 무슨 원한이 있길래......		놀람
8308		장난 아님.		놀람
8309		저 머리는 왜 저렇게까지 빈건지		놀람
8310		와 금년이 승부 아니었어?		놀람
8311		오늘 삼성 댓글 알바들 쉬는날인가?		놀람
8312		하루 삼만명???		놀람
8313		매국노가 따로 있다고 합니까?		놀람
8314		신재영하고 비교해보면 개쩐다 개쩔어		놀람
8315		저걸 아기들이 만지고 쓰다듬는다니		놀람
8316		대단합니다!!		놀람
8317		추석때 공항에 해외여행 가는 사람들 많아서 미어터지던데?		놀람
8318		와 40대 50대가 댓글 작성자의 63프로네ㅋㅋㅋ		놀람
8319		역사 교과서에 그렇게 매달리는 대통령을 여태 본적이 없다..		놀람
8320		2년 250만이라면 몰라도..		놀람
8321		유료인가요 ?		놀람
8322		지금 상황 그대로 아닌가!		놀람
8323		유딩일때 애니 나오고 포켓몬빵 딱지 유행했었는데 이젠 게임까지 와..		놀람
8324		모두 하이패스로바꿔		놀람
8325		평화적인 대규모시위?		놀람
8326		시몬하나 없을뿐인데 이렇게 못하는 팀은 진짜 처음인듯....		놀람
8327		그건 뭥미?		놀람
8328		위기를 기회로 만드는 갓성전자 ㅎㅎㅎㅎ		놀람
8329		냉정히 W가 더 재밌다!!!		놀람
8330		정말 미치겠다!!!!		놀람
8331		문제는 원더걸스나 미스에이는 그 인기가 언제 있었냐는 듯 싹 사라져버렸다는 거지.		놀람
8332		왜 돈을쓴데?		놀람
8333		감독이 세번이나 바꼈는데도 이모양인거 보면 퍼거슨은 정말 위대한 감독이었구나..		놀람
8334		터지는게사실인가요?		놀람
8335		둘중하나를해야됨............		놀람
8336		얜 뭐냐??ㅋ		놀람
8337		미친거같다..		놀람
8338		딴나라당에서 신천지ㄷ..		놀람
8339		어디에서 군방비가 새는건지		놀람
8340		참 어처구니가 없네요.		놀람
8341		푸틴손내밀고잇으니까 존내뛰어와서 좋다고잡네		놀람
8342		금품이 오든가 가든가.		놀람
8343		그리고 북쪽에서 핵을 쓰던지 말던지 오로지 예의주시만 몇년째 하고 있다		놀람
8344		최고의 호구는?		놀람
8345		헉... 커쇼 그레인키 다음으로 알고 있던 투수인데...		놀람
8346		노트7의 혁신은 홍채랑 방수가 아니고 사후처리였구만		놀람
8347		윤리의식교육을강화시켜라.		놀람
8348		총리까지 없애고 뭐할라고?		놀람
8349		와...사진 화보인줄..		놀람
8350		대한민국이 언제부터 범죄자의 눈치를 살폈던가?		놀람
8351		재용이는 내가 낸 세금으로 밥먹나		놀람
8352		성경 다시써야할듯요..		놀람
8353		대본도 안 받았다는데??		놀람
8354		개주인왈 내새끼 죽었다고 거품물고 대들더니 나중에는 1천만원 달라더라...		놀람
8355		법조인 리스트 뽑아서 잡아간다는게 냄새가 난다...		놀람
8356		그냥 찍는거지?		놀람
8357		어머나 세상에 ㅇㅁㅇ..		놀람
8358		갠찬긴 갠찮은데 와그라지???		놀람
8359		아직도 5공 시대인가?		놀람
8360		뭐냐 ? 제 정신이냐?		놀람
8361		대한민국 술독에빠졌다!!!!!		놀람
8362		박사모그룹 놈들이 수사를 모조리 부인하도록 조종하고있다.		놀람
8363		우와 멋진데!!		놀람
8364		김상수 팔 생각까지하고 있는거네		놀람
8365		최순실 관련 연예인 누구야??		놀람
8366		너무 집에만 있는거 아냐?		놀람
8367		근데 유덕화는 전생이 뭘까?		놀람
8368		뭔일이지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ		놀람
8369		연기 너무 잘하는 듯.		놀람
8370		몰카남~~~~~?		놀람
8371		유럽에선 자전거에다 사람이 배달통을 짊어지고 하네...		놀람
8372		정말 인간이 제일 무섭다		놀람
8373		난 더운거에 부심부리는 곳 처음 봤음 ㅋㅋㅋㅋㅋㅋ		놀람
8374		95프로 국민이 널 엮고 있는거냐????		놀람
8375		공무원도 피해자다???		놀람
8376		근데 내 과실이아닌데도 증명할 방법도 없고..		놀람
8377		한국에도 이제 까마가 있네ㅋㅋ		놀람
8378		40대분들 점유율 높네요 ~		놀람
